Alaska, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
192501,-10.9
192502,-3.5
192503,10.8
192504,23.4
192505,38.5
192506,48.6
192507,51.8
192508,50.9
192509,42.8
192510,33.0
192511,15.1
192512,2.9
192601,15.0
192602,3.1
192603,20.6
192604,28.4
192605,38.8
192606,52.4
192607,53.5
192608,51.7
192609,44.3
192610,30.3
192611,18.8
192612,1.2
192701,5.5
192702,7.0
192703,3.9
192704,14.8
192705,36.6
192706,49.8
192707,54.1
192708,49.6
192709,37.0
192710,22.2
192711,2.4
192712,3.9
192801,8.0
192802,13.1
192803,4.2
192804,23.5
192805,37.2
192806,49.0
192807,51.5
192808,47.9
192809,38.2
192810,24.8
192811,16.4
192812,9.2
192901,12.1
192902,12.4
192903,3.9
192904,21.2
192905,37.7
192906,50.2
192907,51.5
192908,48.9
192909,45.0
192910,26.5
192911,18.6
192912,3.2
193001,9.5
193002,-6.2
193003,7.4
193004,21.1
193005,37.4
193006,48.7
193007,52.2
193008,50.2
193009,39.5
193010,25.8
193011,7.2
193012,11.3
193101,8.6
193102,9.7
193103,10.6
193104,22.4
193105,35.6
193106,48.4
193107,51.2
193108,49.7
193109,39.7
193110,24.2
193111,16.0
193112,4.6
193201,-6.4
193202,-5.2
193203,15.0
193204,25.1
193205,36.6
193206,47.0
193207,51.5
193208,47.3
193209,38.4
193210,27.7
193211,4.5
193212,5.3
193301,-9.0
193302,2.4
193303,8.7
193304,24.9
193305,37.4
193306,46.0
193307,51.7
193308,48.9
193309,38.6
193310,21.8
193311,12.4
193312,-8.1
193401,-12.1
193402,13.5
193403,11.8
193404,26.1
193405,36.5
193406,48.4
193407,50.4
193408,49.1
193409,41.8
193410,28.9
193411,12.6
193412,9.4
193501,0.8
193502,11.0
193503,11.0
193504,24.0
193505,35.1
193506,48.8
193507,52.8
193508,47.8
193509,40.0
193510,26.2
193511,11.0
193512,-0.6
193601,5.0
193602,-0.5
193603,7.6
193604,24.0
193605,38.3
193606,53.3
193607,52.7
193608,51.6
193609,40.4
193610,29.3
193611,14.9
193612,-0.4
193701,15.6
193702,-0.4
193703,7.6
193704,19.8
193705,36.0
193706,50.6
193707,52.7
193708,48.2
193709,43.4
193710,31.3
193711,17.0
193712,4.2
193801,-3.5
193802,-0.7
193803,11.3
193804,27.4
193805,37.9
193806,47.9
193807,51.6
193808,49.7
193809,42.6
193810,33.1
193811,16.8
193812,7.7
193901,-1.7
193902,7.0
193903,6.7
193904,24.9
193905,35.4
193906,49.0
193907,52.3
193908,47.6
193909,39.6
193910,23.0
193911,4.4
193912,8.8
194001,9.2
194002,9.2
194003,12.1
194004,32.9
194005,40.9
194006,50.4
194007,53.4
194008,50.3
194009,41.3
194010,28.1
194011,15.4
194012,7.3
194101,-0.8
194102,13.1
194103,13.1
194104,27.2
194105,37.7
194106,50.4
194107,51.0
194108,51.9
194109,40.9
194110,24.8
194111,9.2
194112,4.8
194201,11.4
194202,16.9
194203,9.3
194204,26.6
194205,41.1
194206,50.2
194207,52.4
194208,50.3
194209,44.0
194210,27.7
194211,6.0
194212,-9.6
194301,-8.4
194302,9.7
194303,11.9
194304,23.6
194305,39.4
194306,51.4
194307,52.3
194308,48.5
194309,40.0
194310,29.7
194311,19.0
194312,8.6
194401,3.5
194402,14.2
194403,10.3
194404,21.2
194405,38.0
194406,50.2
194407,53.6
194408,49.0
194409,40.0
194410,29.0
194411,12.0
194412,8.8
194501,14.1
194502,11.0
194503,8.7
194504,20.4
194505,33.8
194506,47.0
194507,51.9
194508,48.0
194509,40.2
194510,26.0
194511,2.1
194512,4.5
194601,6.4
194602,4.0
194603,2.7
194604,20.3
194605,37.8
194606,50.2
194607,53.5
194608,47.8
194609,39.3
194610,29.9
194611,8.1
194612,-6.4
194701,-9.9
194702,7.2
194703,11.7
194704,23.3
194705,38.4
194706,47.7
194707,53.4
194708,47.4
194709,38.6
194710,24.8
194711,17.3
194712,10.3
194801,4.0
194802,2.2
194803,8.0
194804,22.0
194805,36.0
194806,48.8
194807,50.5
194808,46.3
194809,37.0
194810,24.5
194811,4.9
194812,-3.9
194901,2.8
194902,-1.8
194903,18.7
194904,17.0
194905,33.8
194906,44.0
194907,51.5
194908,49.6
194909,43.6
194910,28.1
194911,19.2
194912,0.0
195001,6.6
195002,-7.3
195003,16.3
195004,23.5
195005,37.0
195006,48.2
195007,53.6
195008,52.0
195009,41.7
195010,26.9
195011,9.4
195012,5.0
195101,-7.1
195102,2.2
195103,1.8
195104,26.6
195105,39.7
195106,48.8
195107,53.2
195108,50.6
195109,41.2
195110,24.0
195111,17.7
195112,3.2
195201,-4.1
195202,3.5
195203,9.9
195204,19.8
195205,32.3
195206,47.6
195207,51.9
195208,48.8
195209,38.7
195210,29.3
195211,21.5
195212,5.8
195301,-5.0
195302,5.8
195303,7.2
195304,27.2
195305,40.0
195306,51.6
195307,54.0
195308,49.4
195309,40.6
195310,24.3
195311,11.9
195312,5.6
195401,-3.3
195402,-6.2
195403,13.2
195404,21.3
195405,39.5
195406,48.6
195407,50.9
195408,50.1
195409,40.6
195410,29.5
195411,17.7
195412,-7.3
195501,8.4
195502,-2.3
195503,10.7
195504,17.6
195505,35.8
195506,45.2
195507,52.6
195508,47.4
195509,39.7
195510,22.4
195511,2.2
195512,-0.2
195601,-6.3
195602,-2.8
195603,7.8
195604,22.5
195605,37.9
195606,47.4
195607,52.8
195608,49.0
195609,39.2
195610,19.2
195611,2.9
195612,-7.7
195701,9.9
195702,3.0
195703,14.9
195704,27.4
195705,39.2
195706,52.9
195707,52.7
195708,52.5
195709,40.8
195710,29.7
195711,19.4
195712,-3.6
195801,4.0
195802,7.4
195803,17.0
195804,27.2
195805,37.2
195806,51.2
195807,53.4
195808,50.0
195809,40.0
195810,20.5
195811,10.9
195812,5.3
195901,-2.6
195902,13.5
195903,-1.2
195904,20.1
195905,38.5
195906,50.7
195907,48.9
195908,49.5
195909,40.0
195910,24.8
195911,14.4
195912,-1.2
196001,4.7
196002,11.7
196003,8.7
196004,17.6
196005,41.0
196006,47.3
196007,52.8
196008,48.8
196009,38.3
196010,25.8
196011,9.0
196012,14.9
196101,9.7
196102,-0.4
196103,3.4
196104,20.3
196105,40.0
196106,48.3
196107,51.0
196108,48.6
196109,41.0
196110,21.8
196111,8.7
196112,-7.9
196201,3.3
196202,13.0
196203,10.4
196204,22.9
196205,35.0
196206,48.3
196207,54.6
196208,51.2
196209,38.4
