"","Location","Date","temp"
"1","Alabama","189501","43.1"
"2","Alabama","189502","37.4"
"3","Alabama","189503","54.5"
"4","Alabama","189504","63.4"
"5","Alabama","189505","69.5"
"6","Alabama","189506","77.5"
"7","Alabama","189507","79.2"
"8","Alabama","189508","79.5"
"9","Alabama","189509","77.8"
"10","Alabama","189510","59.7"
"11","Alabama","189511","53.2"
"12","Alabama","189512","44.9"
"13","Alabama","189601","43.5"
"14","Alabama","189602","47.7"
"15","Alabama","189603","52.5"
"16","Alabama","189604","68"
"17","Alabama","189605","75.9"
"18","Alabama","189606","77.4"
"19","Alabama","189607","81.2"
"20","Alabama","189608","82.2"
"21","Alabama","189609","75.9"
"22","Alabama","189610","63.2"
"23","Alabama","189611","57.3"
"24","Alabama","189612","46.4"
"25","Alabama","189701","41.8"
"26","Alabama","189702","51.1"
"27","Alabama","189703","60.2"
"28","Alabama","189704","62.4"
"29","Alabama","189705","69"
"30","Alabama","189706","81.2"
"31","Alabama","189707","81.5"
"32","Alabama","189708","78.8"
"33","Alabama","189709","75.6"
"34","Alabama","189710","67.1"
"35","Alabama","189711","54.2"
"36","Alabama","189712","47.4"
"37","Alabama","189801","49"
"38","Alabama","189802","46.1"
"39","Alabama","189803","59.2"
"40","Alabama","189804","58.8"
"41","Alabama","189805","74.1"
"42","Alabama","189806","80.4"
"43","Alabama","189807","80"
"44","Alabama","189808","78.8"
"45","Alabama","189809","75.2"
"46","Alabama","189810","61"
"47","Alabama","189811","49.8"
"48","Alabama","189812","43.4"
"49","Alabama","189901","43.8"
"50","Alabama","189902","40"
"51","Alabama","189903","55.6"
"52","Alabama","189904","61.7"
"53","Alabama","189905","76.1"
"54","Alabama","189906","79.9"
"55","Alabama","189907","80.4"
"56","Alabama","189908","80.9"
"57","Alabama","189909","72.8"
"58","Alabama","189910","66"
"59","Alabama","189911","55.3"
"60","Alabama","189912","44.7"
"61","Alabama","190001","43.6"
"62","Alabama","190002","44.4"
"63","Alabama","190003","52.9"
"64","Alabama","190004","64.2"
"65","Alabama","190005","71.4"
"66","Alabama","190006","76.3"
"67","Alabama","190007","79.8"
"68","Alabama","190008","81.2"
"69","Alabama","190009","77.6"
"70","Alabama","190010","68.2"
"71","Alabama","190011","54.7"
"72","Alabama","190012","46.6"
"73","Alabama","190101","46"
"74","Alabama","190102","43.1"
"75","Alabama","190103","53.3"
"76","Alabama","190104","58.1"
"77","Alabama","190105","70.6"
"78","Alabama","190106","78.8"
"79","Alabama","190107","82.4"
"80","Alabama","190108","78.7"
"81","Alabama","190109","72.4"
"82","Alabama","190110","62.5"
"83","Alabama","190111","48.7"
"84","Alabama","190112","42.1"
"85","Alabama","190201","43.2"
"86","Alabama","190202","40.8"
"87","Alabama","190203","55.1"
"88","Alabama","190204","62.1"
"89","Alabama","190205","75.7"
"90","Alabama","190206","81.2"
"91","Alabama","190207","83.1"
"92","Alabama","190208","82.3"
"93","Alabama","190209","73.6"
"94","Alabama","190210","63.1"
"95","Alabama","190211","57.6"
"96","Alabama","190212","45.2"
"97","Alabama","190301","43.4"
"98","Alabama","190302","48.2"
"99","Alabama","190303","59.5"
"100","Alabama","190304","61.1"
"101","Alabama","190305","69.8"
"102","Alabama","190306","73.6"
"103","Alabama","190307","80.4"
"104","Alabama","190308","80.6"
"105","Alabama","190309","73.2"
"106","Alabama","190310","63.2"
"107","Alabama","190311","50.6"
"108","Alabama","190312","40.1"
"109","Alabama","190401","41.1"
"110","Alabama","190402","48.9"
"111","Alabama","190403","58.1"
"112","Alabama","190404","60"
"113","Alabama","190405","70.2"
"114","Alabama","190406","78.1"
"115","Alabama","190407","78.6"
"116","Alabama","190408","78.6"
"117","Alabama","190409","77"
"118","Alabama","190410","64.6"
"119","Alabama","190411","52.1"
"120","Alabama","190412","45.9"
"121","Alabama","190501","38.6"
"122","Alabama","190502","39.1"
"123","Alabama","190503","59.1"
"124","Alabama","190504","63.7"
"125","Alabama","190505","74.5"
"126","Alabama","190506","79.4"
"127","Alabama","190507","79.8"
"128","Alabama","190508","79.4"
"129","Alabama","190509","76.2"
"130","Alabama","190510","63.7"
"131","Alabama","190511","55.4"
"132","Alabama","190512","42.7"
"133","Alabama","190601","46.2"
"134","Alabama","190602","45.1"
"135","Alabama","190603","50.9"
"136","Alabama","190604","64.9"
"137","Alabama","190605","69.9"
"138","Alabama","190606","79.1"
"139","Alabama","190607","79.2"
"140","Alabama","190608","80.5"
"141","Alabama","190609","78.3"
"142","Alabama","190610","60.6"
"143","Alabama","190611","55"
"144","Alabama","190612","49.6"
"145","Alabama","190701","53.6"
"146","Alabama","190702","48.3"
"147","Alabama","190703","64.3"
"148","Alabama","190704","58.1"
"149","Alabama","190705","68.3"
"150","Alabama","190706","75.6"
"151","Alabama","190707","81.2"
"152","Alabama","190708","80.5"
"153","Alabama","190709","75.2"
"154","Alabama","190710","63.3"
"155","Alabama","190711","51"
"156","Alabama","190712","45.3"
"157","Alabama","190801","43.4"
"158","Alabama","190802","44"
"159","Alabama","190803","62.2"
"160","Alabama","190804","67.4"
"161","Alabama","190805","71.8"
"162","Alabama","190806","78"
"163","Alabama","190807","80.3"
"164","Alabama","190808","79.7"
"165","Alabama","190809","74.5"
"166","Alabama","190810","60.3"
"167","Alabama","190811","56.8"
"168","Alabama","190812","50.1"
"169","Alabama","190901","49.6"
"170","Alabama","190902","50.2"
"171","Alabama","190903","55.9"
"172","Alabama","190904","63.1"
"173","Alabama","190905","69"
"174","Alabama","190906","78.2"
"175","Alabama","190907","80.4"
"176","Alabama","190908","81"
"177","Alabama","190909","75.3"
"178","Alabama","190910","63.2"
"179","Alabama","190911","59.5"
"180","Alabama","190912","40.8"
"181","Alabama","191001","45.3"
"182","Alabama","191002","44.9"
"183","Alabama","191003","60.6"
"184","Alabama","191004","61.7"
"185","Alabama","191005","69"
"186","Alabama","191006","75.5"
"187","Alabama","191007","78.8"
"188","Alabama","191008","79.6"
"189","Alabama","191009","77.4"
"190","Alabama","191010","66.4"
"191","Alabama","191011","50.9"
"192","Alabama","191012","41.9"
"193","Alabama","191101","49.9"
"194","Alabama","191102","54.2"
"195","Alabama","191103","57.7"
"196","Alabama","191104","63.5"
"197","Alabama","191105","72.7"
"198","Alabama","191106","80.7"
"199","Alabama","191107","78.1"
"200","Alabama","191108","79"
"201","Alabama","191109","80.2"
"202","Alabama","191110","68.5"
"203","Alabama","191111","50.1"
"204","Alabama","191112","49.3"
"205","Alabama","191201","40.2"
"206","Alabama","191202","42.7"
"207","Alabama","191203","52.3"
"208","Alabama","191204","64.4"
"209","Alabama","191205","72"
"210","Alabama","191206","75.1"
"211","Alabama","191207","79.7"
"212","Alabama","191208","79.1"
"213","Alabama","191209","76.9"
"214","Alabama","191210","65.9"
"215","Alabama","191211","50.2"
"216","Alabama","191212","46.9"
"217","Alabama","191301","51.2"
"218","Alabama","191302","46.8"
"219","Alabama","191303","55"
"220","Alabama","191304","62"
"221","Alabama","191305","71.4"
"222","Alabama","191306","77.8"
"223","Alabama","191307","81.3"
"224","Alabama","191308","80.6"
"225","Alabama","191309","73.2"
"226","Alabama","191310","60.8"
"227","Alabama","191311","55.8"
"228","Alabama","191312","47.4"
"229","Alabama","191401","47"
"230","Alabama","191402","45.4"
"231","Alabama","191403","50"
"232","Alabama","191404","63.8"
"233","Alabama","191405","71.6"
"234","Alabama","191406","83.1"
"235","Alabama","191407","81.8"
"236","Alabama","191408","79.2"
"237","Alabama","191409","73.2"
"238","Alabama","191410","63.8"
"239","Alabama","191411","52.3"
"240","Alabama","191412","42.8"
"241","Alabama","191501","42.5"
"242","Alabama","191502","47.8"
"243","Alabama","191503","46.4"
"244","Alabama","191504","64.3"
"245","Alabama","191505","74.3"
"246","Alabama","191506","78.5"
"247","Alabama","191507","80.4"
"248","Alabama","191508","79.1"
"249","Alabama","191509","76.4"
"250","Alabama","191510","66.3"
"251","Alabama","191511","56.3"
"252","Alabama","191512","46.1"
"253","Alabama","191601","51.8"
"254","Alabama","191602","46.8"
"255","Alabama","191603","53.8"
"256","Alabama","191604","61.8"
"257","Alabama","191605","73"
"258","Alabama","191606","77.1"
"259","Alabama","191607","78.6"
"260","Alabama","191608","79.8"
"261","Alabama","191609","73.6"
"262","Alabama","191610","64.2"
"263","Alabama","191611","54"
"264","Alabama","191612","46.8"
"265","Alabama","191701","49.7"
"266","Alabama","191702","48.4"
"267","Alabama","191703","56.4"
"268","Alabama","191704","63.6"
"269","Alabama","191705","66"
"270","Alabama","191706","77.8"
"271","Alabama","191707","79.8"
"272","Alabama","191708","78.4"
"273","Alabama","191709","73.2"
"274","Alabama","191710","58.5"
"275","Alabama","191711","50.6"
"276","Alabama","191712","39.8"
"277","Alabama","191801","37.4"
"278","Alabama","191802","53.2"
"279","Alabama","191803","61.8"
"280","Alabama","191804","60.9"
"281","Alabama","191805","72.6"
"282","Alabama","191806","79.6"
"283","Alabama","191807","78.2"
"284","Alabama","191808","80.3"
"285","Alabama","191809","70.4"
"286","Alabama","191810","68.6"
"287","Alabama","191811","52.6"
"288","Alabama","191812","49.8"
"289","Alabama","191901","44"
"290","Alabama","191902","47.5"
"291","Alabama","191903","56.1"
"292","Alabama","191904","62.3"
"293","Alabama","191905","69"
"294","Alabama","191906","78.2"
"295","Alabama","191907","79.7"
"296","Alabama","191908","79.2"
"297","Alabama","191909","75.1"
"298","Alabama","191910","74"
"299","Alabama","191911","57"
"300","Alabama","191912","47"
"301","Alabama","192001","46.9"
"302","Alabama","192002","46.2"
"303","Alabama","192003","52.1"
"304","Alabama","192004","62.2"
"305","Alabama","192005","70.4"
"306","Alabama","192006","76.9"
"307","Alabama","192007","79.4"
"308","Alabama","192008","77.6"
"309","Alabama","192009","76.8"
"310","Alabama","192010","63.8"
"311","Alabama","192011","50.6"
"312","Alabama","192012","44.7"
"313","Alabama","192101","49.3"
"314","Alabama","192102","50.3"
"315","Alabama","192103","63.4"
"316","Alabama","192104","61.8"
"317","Alabama","192105","69.9"
"318","Alabama","192106","80.5"
"319","Alabama","192107","81.4"
"320","Alabama","192108","80.4"
"321","Alabama","192109","80.9"
"322","Alabama","192110","62.4"
"323","Alabama","192111","57.6"
"324","Alabama","192112","50.6"
"325","Alabama","192201","46.4"
"326","Alabama","192202","53.8"
"327","Alabama","192203","55.4"
"328","Alabama","192204","66.3"
"329","Alabama","192205","71.6"
"330","Alabama","192206","78.5"
"331","Alabama","192207","79.8"
"332","Alabama","192208","78.8"
"333","Alabama","192209","77"
"334","Alabama","192210","64.6"
"335","Alabama","192211","56.5"
"336","Alabama","192212","53.3"
"337","Alabama","192301","50.9"
"338","Alabama","192302","46.8"
"339","Alabama","192303","54.2"
"340","Alabama","192304","62.8"
"341","Alabama","192305","69.1"
"342","Alabama","192306","76.6"
"343","Alabama","192307","78.5"
"344","Alabama","192308","78.7"
